Mother,Father,Status
Alfa,Kongo,guiding
Alfa,Gibor,specialneeds
Alfa,Gibor,guiding
Amber,Belo,specialneeds
Amber,Belo,specialneeds
Amber,Belo,unsuitable
Amy,Kongo,unsuitable
Amy,Kongo,unsuitable
Amy,Kongo,unsuitable
Amy,Kongo,unsuitable
Andy,Silver,unsuitable
Andy,Silver,specialneeds
Andy,Silver,unsuitable
Andy,Silver,unsuitable
Andy,Silver,guiding
Daisy,Silver,guiding
Daisy,Silver,specialneeds
Daisy,Silver,guiding
Daisy,Silver,unsuitable
Daisy,Silver,specialneeds
Daisy,Silver,specialneeds
Daisy,Silver,specialneeds
Daisy,Silver,specialneeds
Darya,Silver,guiding
Darya,Silver,guiding
Darya,Gibor,specialneeds
Darya,Gibor,specialneeds
Darya,Gibor,specialneeds
Darya,Gibor,specialneeds
Darya,Gibor,specialneeds
Darya,Gibor,specialneeds
Helen,Gibor,guiding
Helen,Gibor,specialneeds
Helen,Gibor,guiding
Helen,Gibor,guiding
Helen,Gibor,guiding
Helen,Silver,unsuitable
Helen,Silver,specialneeds
Helen,Silver,specialneeds
Helen,Silver,guiding
Helen,Silver,guiding
Helen,Silver,specialneeds
Helen,Silver,guiding
Helen,Silver,unsuitable
Helen,Silver,unsuitable
Helen,Gibor,unsuitable
Laika,Kongo,specialneeds
Laika,Kongo,guiding
Laika,Kongo,guiding
Laika,Kongo,guiding
Laika,Kongo,guiding
Laika,Kongo,specialneeds
Laika,Kongo,unsuitable
Laika,Moris,unsuitable
Lolly,Silver,unsuitable
Lolly,Silver,guiding
Lolly,Silver,specialneeds
Lolly,Silver,guiding
Lolly,Silver,unsuitable
Lolly,Silver,guiding
Lolly,Silver,specialneeds
Lolly,Silver,specialneeds
Lolly,Silver,specialneeds
Lolly,Silver,guiding
Lolly,Silver,guiding
Lolly,Silver,guiding
Lolly,Silver,specialneeds
Minty,Gibor,guiding
Minty,Gibor,specialneeds
Minty,Gibor,guiding
Minty,Gibor,guiding
Minty,Gibor,unsuitable
Minty,Gibor,unsuitable
Minty,Gibor,guiding
Minty,Gibor,unsuitable
Minty,Gibor,unsuitable
Minty,Gibor,specialneeds
Minty,Gibor,unsuitable
Minty,Gibor,guiding
Minty,Gibor,guiding
Minty,Gibor,unsuitable
Moka,Moris,unsuitable
Moka,Moris,guiding
Moka,Moris,unsuitable
Moka,Moris,unsuitable
Moka,Moris,unsuitable
Moka,Moris,unsuitable
Moka,Moris,guiding
Moka,Moris,specialneeds
Mona,Moris,guiding
Mona,Moris,specialneeds
Rosie,Gibor,specialneeds
Rosie,Gibor,guiding
Rosie,Moris,specialneeds
Rosie,Moris,guiding
Rosie,Moris,guiding
Rosie,Moris,unsuitable
Rosie,Moris,specialneeds
Rosie,Moris,guiding
Sunny,Kongo,guiding
Sunny,Kongo,guiding
Sunny,Kongo,guiding
Sunny,Moris,specialneeds
Sunny,Moris,guiding
Sunny,Moris,unsuitable
Tara,Gibor,guiding
Wally,Kongo,guiding
Wally,Kongo,unsuitable
Wally,Kongo,unsuitable
Wally,Kongo,guiding
Willow,Kongo,specialneeds
Willow,Kongo,specialneeds
Willow,Kongo,specialneeds
Willow,Kongo,specialneeds
Willow,Kongo,specialneeds
Willow,Kongo,specialneeds
Willow,Silver,unsuitable
Willow,Silver,guiding
Willow,Silver,guiding
Willow,Silver,specialneeds
Willow,Silver,guiding
Willow,Silver,specialneeds
Willow,Silver,specialneeds
Yogi,Moris,specialneeds
Yogi,Moris,guiding
Yogi,Moris,unsuitable
Yogi,Moris,guiding
Yogi,Moris,specialneeds
Yogi,Moris,specialneeds
Yogi,Moris,guiding
Yogi,Moris,specialneeds
Yogi,Moris,guiding
Yogi,Kongo,specialneeds
Yogi,Kongo,specialneeds
Yogi,Kongo,specialneeds
Yogi,Kongo,specialneeds
Andy,Silver,unsuitable
Rosie,Moris,unsuitable
Wally,Silver,unsuitable